w1,w2,w3,a,b,mae,correlation
0.6,0.2,0.2,1.0865268537395705,2.16030219367247,0.5955789064580683,0.3550549055042726
0.2,0.6,0.2,1.2537950112693614,2.0387118160517104,0.5969229924769326,0.39387498679391136
0.0,0.7,0.3,1.3466677193584744,1.9745017993226086,0.5974245268029333,0.4206274851327424
0.7,0.1,0.2,1.0225470850704244,2.199721631671814,0.5975879518070284,0.341569743231129
0.1,0.7,0.2,1.263747139043594,2.0235229150593277,0.599834311368847,0.3985030440111577
0.8,0.0,0.2,0.9547439632877567,2.239940012297862,0.6002711562248221,0.3272515202584426
0.4,0.5,0.1,1.1147498400546205,2.124271255761542,0.6005581879766266,0.35973318675739735
0.5,0.4,0.1,1.071126133212113,2.1549771105395465,0.6005955177642689,0.3496846121048687
0.3,0.6,0.1,1.147951018352451,2.0982684417409057,0.6014670334889576,0.36806895529236244
0.6,0.3,0.1,1.0190909027871196,2.1891456462940835,0.6015149599529193,0.33819344681963626
0.7,0.2,0.1,0.9609327364811703,2.2254653031565033,0.6032080114491992,0.3255694758887127
0.2,0.7,0.1,1.1692466738666503,2.077995270530844,0.6033294626040233,0.37448839803110684
0.0,0.8,0.2,1.259608490595094,2.015745028784283,0.6036403743281474,0.4008894863717614
0.8,0.1,0.1,0.8989664216954937,2.2626844444354104,0.6055382534441887,0.31213399547991216
0.1,0.8,0.1,1.1778747745188514,2.0641407908735805,0.6060917858166538,0.37887553416838815
0.5,0.5,0.0,0.9988413913391627,2.1871459862875433,0.6066274482134366,0.3320228720628625
0.4,0.6,-0.0,1.0379351046704521,2.1591603120204375,0.6067337119146233,0.34140059413830387
0.6,0.4,-0.0,0.9519865946810259,2.218376693772241,0.6073226094186638,0.32129908028476484
0.3,0.7,-0.0,1.067550663534464,2.1354995192412662,0.6076898883852186,0.3491956901432302
0.9,0.0,0.1,0.8353267302606774,2.299709314799813,0.6083583257339632,0.2981954324352744
0.7,0.3,-0.0,0.8993579782121277,2.2516945649617908,0.6087303666923805,0.3095038676160095
0.2,0.8,0.0,1.0864484185234697,2.117045016981916,0.6094947465158594,0.35523258791885454
0.0,0.9,0.1,1.17388203379554,2.056980460424366,0.6096442124460039,0.3812120443291107
0.8,0.2,-0.0,0.8429981990073381,2.285977936021623,0.6107350400499263,0.29692564596330384
0.1,0.9,0.0,1.0940199583443613,2.104378221989122,0.612094708119941,0.35941374265281445
0.9,0.1,-0.0,0.7848225628530321,2.3202301798752054,0.6132085472495803,0.2838448154274513
0.0,1.0,0.0,1.0903519054314874,2.0977207925251244,0.6153890392020096,0.36172734919989763
1.0,0.0,0.0,0.7264917067606357,2.353634020747196,0.6160231660532,0.27051717101753897
