base_impact,coef_score,amplitude_method,amplitude_factor,score_tendance_v2,impact_pred,impact_real,error,error_pct
52.0,0.1,2,0.270999999999999,-0.1515059483362533,53.77277752208406,51.7,2.07277752208406,4.009240855094893
50.0,0.06,4,1.6462077633154297,-0.9203330935040868,49.60095075546213,51.7,2.0990492445378734,4.06005656583728
52.0,0.1,4,1.6462077633154297,-0.9203330935040868,49.574981309467695,51.7,2.1250186905323076,4.110287602576998
48.0,0.06,1,0.541999999999998,-0.3030118966725066,49.48369202446234,51.7,2.21630797553766,4.28686262192971
48.0,0.12,2,0.270999999999999,-0.1515059483362533,49.48369202446234,51.7,2.21630797553766,4.28686262192971
50.0,0.12,3,0.856540727468379,-0.4788598347000794,49.4831830413895,51.7,2.216816958610501,4.287847115300775
52.0,0.08,2,0.270999999999999,-0.1515059483362533,53.93822201766725,51.7,2.2382220176672476,4.329249550613631
54.0,0.1,3,0.856540727468379,-0.4788598347000794,53.984864737250554,51.7,2.284864737250551,4.419467576886945
54.0,0.14,4,1.6462077633154297,-0.9203330935040868,49.39439590376456,51.7,2.3056040962354416,4.459582391171066
48.0,0.14,2,0.270999999999999,-0.1515059483362533,49.3309740285394,51.7,2.3690259714606015,4.582255263947004
52.0,0.06,2,0.270999999999999,-0.1515059483362533,54.10366651325043,51.7,2.4036665132504282,4.649258246132356
48.0,0.08,1,0.541999999999998,-0.3030118966725066,49.17825603261645,51.7,2.52174396738355,4.877647905964313
54.0,0.14,1,0.541999999999998,-0.3030118966725066,54.29469156421364,51.7,2.5946915642136403,5.018745772173385
50.0,0.14,3,0.856540727468379,-0.4788598347000794,48.980380214954415,51.7,2.7196197850455874,5.260386431422799
48.0,0.06,3,0.856540727468379,-0.4788598347000794,48.95192785986697,51.7,2.748072140133033,5.315420000257316
56.0,0.08,4,1.6462077633154297,-0.9203330935040868,54.47075312815677,51.7,2.7707531281567697,5.3592903832819525
48.0,0.1,1,0.541999999999998,-0.3030118966725066,48.87282004077056,51.7,2.82717995922944,5.468433189998916
54.0,0.08,3,0.856540727468379,-0.4788598347000794,54.52789178980044,51.7,2.8278917898004394,5.469810038298721
54.0,0.12,1,0.541999999999998,-0.3030118966725066,54.63830705504027,51.7,2.9383070550402692,5.683379216712319
50.0,0.08,4,1.6462077633154297,-0.9203330935040868,48.63460100728283,51.7,3.0653989927171708,5.929205014926829
52.0,0.12,4,1.6462077633154297,-0.9203330935040868,48.56997757136122,51.7,3.1300224286387817,6.054201989630139
48.0,0.12,1,0.541999999999998,-0.3030118966725066,48.56738404892468,51.7,3.132615951075323,6.059218474033506
56.0,0.14,3,0.856540727468379,-0.4788598347000794,54.858025840748944,51.7,3.158025840748941,6.108367196806462
48.0,0.08,3,0.856540727468379,-0.4788598347000794,48.46923714648928,51.7,3.2307628535107256,6.249057743734478
54.0,0.1,1,0.541999999999998,-0.3030118966725066,54.98192254586688,51.7,3.281922545866877,6.348012661251213
54.0,0.06,3,0.856540727468379,-0.4788598347000794,55.07091884235034,51.7,3.370918842350335,6.520152499710512
48.0,0.14,1,0.541999999999998,-0.3030118966725066,48.2619480570788,51.7,3.4380519429212058,6.650003758068096
54.0,0.08,1,0.541999999999998,-0.3030118966725066,55.32553803669351,51.7,3.6255380366935057,7.012646105790147
48.0,0.1,3,0.856540727468379,-0.4788598347000794,47.9865464331116,51.7,3.713453566888404,7.182695487211613
56.0,0.12,3,0.856540727468379,-0.4788598347000794,55.42116500635624,51.7,3.7211650063562374,7.197611230863128
54.0,0.14,2,0.270999999999999,-0.1515059483362533,55.49734578210682,51.7,3.7973457821068166,7.344962828059606
56.0,0.06,4,1.6462077633154297,-0.9203330935040868,55.553064846117586,51.7,3.853064846117583,7.45273664626225
54.0,0.06,1,0.541999999999998,-0.3030118966725066,55.66915352752014,51.7,3.9691535275201346,7.6772795503290805
54.0,0.12,2,0.270999999999999,-0.1515059483362533,55.66915352752014,51.7,3.9691535275201346,7.6772795503290805
50.0,0.1,4,1.6462077633154297,-0.9203330935040868,47.66825125910355,51.7,4.031748740896454,7.798353464016351
