datetime,open,high,low,close
2025-09-11 00:35:00+02:00,1.16987,1.1699,1.16981,1.16989
2025-09-11 00:36:00+02:00,1.1699,1.16997,1.1699,1.16994
2025-09-11 00:37:00+02:00,1.16994,1.16994,1.16987,1.16991
2025-09-11 00:38:00+02:00,1.16989,1.16991,1.16986,1.16987
2025-09-11 00:39:00+02:00,1.16986,1.16988,1.16983,1.16984
2025-09-11 00:40:00+02:00,1.16986,1.16986,1.16979,1.16981
2025-09-11 00:41:00+02:00,1.1698,1.16981,1.16972,1.16972
2025-09-11 00:42:00+02:00,1.16973,1.16983,1.16973,1.16981
2025-09-11 00:43:00+02:00,1.16981,1.16985,1.16971,1.16972
2025-09-11 00:44:00+02:00,1.16973,1.16977,1.16971,1.16974
2025-09-11 00:45:00+02:00,1.16974,1.16974,1.1697,1.16974
2025-09-11 00:46:00+02:00,1.16975,1.16979,1.16972,1.16977
2025-09-11 00:47:00+02:00,1.16975,1.16975,1.16965,1.16971
2025-09-11 00:48:00+02:00,1.16974,1.1699,1.16973,1.16989
2025-09-11 00:49:00+02:00,1.16989,1.1699,1.16984,1.1699
2025-09-11 00:50:00+02:00,1.16989,1.1699,1.16982,1.16987
2025-09-11 00:51:00+02:00,1.16988,1.16998,1.16987,1.16996
2025-09-11 00:52:00+02:00,1.16994,1.16996,1.16981,1.16981
2025-09-11 00:53:00+02:00,1.16981,1.16981,1.16972,1.1698
2025-09-11 00:54:00+02:00,1.16982,1.16982,1.1696,1.16963
2025-09-11 00:55:00+02:00,1.16961,1.16969,1.16958,1.16969
2025-09-11 00:56:00+02:00,1.16968,1.1697,1.16958,1.16958
2025-09-11 00:57:00+02:00,1.16957,1.16957,1.16946,1.1695
2025-09-11 00:58:00+02:00,1.1695,1.16951,1.16947,1.1695
2025-09-11 00:59:00+02:00,1.16952,1.16953,1.16938,1.16942
2025-09-11 01:00:00+02:00,1.16942,1.16945,1.16932,1.16943
2025-09-11 01:01:00+02:00,1.16942,1.16959,1.16939,1.16951
2025-09-11 01:02:00+02:00,1.16952,1.1696,1.16946,1.16959
2025-09-11 01:03:00+02:00,1.16956,1.16966,1.16956,1.16966
2025-09-11 01:04:00+02:00,1.16968,1.16969,1.16961,1.16965
2025-09-11 01:05:00+02:00,1.16964,1.16964,1.16957,1.16957
2025-09-11 01:06:00+02:00,1.16959,1.16969,1.16959,1.16962
2025-09-11 01:07:00+02:00,1.16961,1.16975,1.16961,1.16974
2025-09-11 01:08:00+02:00,1.16972,1.16982,1.16972,1.16978
2025-09-11 01:09:00+02:00,1.1698,1.1698,1.16968,1.16968
2025-09-11 01:10:00+02:00,1.16971,1.16973,1.16969,1.16973
2025-09-11 01:11:00+02:00,1.16971,1.16976,1.16965,1.16974
2025-09-11 01:12:00+02:00,1.16973,1.16983,1.16971,1.16983
2025-09-11 01:13:00+02:00,1.16982,1.16983,1.16963,1.16964
2025-09-11 01:14:00+02:00,1.16964,1.16973,1.16964,1.16966
2025-09-11 01:15:00+02:00,1.16966,1.16968,1.16955,1.16957
2025-09-11 01:16:00+02:00,1.16958,1.16964,1.16958,1.16962
2025-09-11 01:17:00+02:00,1.16963,1.16968,1.16962,1.16966
2025-09-11 01:18:00+02:00,1.16966,1.16971,1.16961,1.16968
2025-09-11 01:19:00+02:00,1.16966,1.16968,1.16962,1.16963
2025-09-11 01:20:00+02:00,1.16961,1.16961,1.16954,1.16954
2025-09-11 01:21:00+02:00,1.16954,1.16961,1.16954,1.1696
2025-09-11 01:22:00+02:00,1.16961,1.16961,1.16955,1.16956
2025-09-11 01:23:00+02:00,1.16956,1.16965,1.16956,1.16963
2025-09-11 01:24:00+02:00,1.16965,1.1698,1.16964,1.16978
2025-09-11 01:25:00+02:00,1.1698,1.1699,1.16978,1.1699
2025-09-11 01:26:00+02:00,1.16987,1.17001,1.16987,1.17001
2025-09-11 01:27:00+02:00,1.17002,1.17013,1.17,1.17011
2025-09-11 01:28:00+02:00,1.17011,1.17014,1.17004,1.17011
2025-09-11 01:29:00+02:00,1.17011,1.17014,1.17008,1.17009
2025-09-11 01:30:00+02:00,1.1701,1.17031,1.1701,1.17025
2025-09-11 01:31:00+02:00,1.17025,1.17028,1.17022,1.17024
2025-09-11 01:32:00+02:00,1.17021,1.17022,1.17015,1.17018
2025-09-11 01:33:00+02:00,1.17017,1.17022,1.17012,1.17022
2025-09-11 01:34:00+02:00,1.17021,1.17022,1.17007,1.17008
2025-09-11 01:35:00+02:00,1.17007,1.1701,1.17006,1.17009
2025-09-11 01:36:00+02:00,1.1701,1.1701,1.17001,1.17004
2025-09-11 01:37:00+02:00,1.17004,1.17009,1.17002,1.17002
2025-09-11 01:38:00+02:00,1.17001,1.17012,1.17,1.17011
2025-09-11 01:39:00+02:00,1.1701,1.17015,1.17007,1.17009
2025-09-11 01:40:00+02:00,1.17007,1.17016,1.17006,1.17013
2025-09-11 01:41:00+02:00,1.17013,1.17013,1.17005,1.17009
2025-09-11 01:42:00+02:00,1.17008,1.17012,1.17,1.17003
2025-09-11 01:43:00+02:00,1.17002,1.17003,1.16998,1.17002
2025-09-11 01:44:00+02:00,1.16999,1.17004,1.16997,1.17002
2025-09-11 01:45:00+02:00,1.17003,1.17004,1.16997,1.16997
2025-09-11 01:46:00+02:00,1.16996,1.16997,1.16994,1.16994
2025-09-11 01:47:00+02:00,1.16996,1.16998,1.16981,1.16985
2025-09-11 01:48:00+02:00,1.16982,1.16982,1.16979,1.16979
2025-09-11 01:49:00+02:00,1.1698,1.16984,1.16978,1.16983
2025-09-11 01:50:00+02:00,1.16978,1.1698,1.16975,1.16978
2025-09-11 01:51:00+02:00,1.16981,1.16984,1.16978,1.1698
2025-09-11 01:52:00+02:00,1.16982,1.16985,1.1698,1.16981
2025-09-11 01:53:00+02:00,1.16983,1.16984,1.1697,1.16974
2025-09-11 01:54:00+02:00,1.16973,1.16981,1.16973,1.1698
2025-09-11 01:55:00+02:00,1.16979,1.16989,1.16978,1.16989
2025-09-11 01:56:00+02:00,1.16988,1.16993,1.16988,1.16992
2025-09-11 01:57:00+02:00,1.16989,1.16989,1.16972,1.16976
2025-09-11 01:58:00+02:00,1.16973,1.16976,1.16968,1.16974
2025-09-11 01:59:00+02:00,1.1697,1.16976,1.1697,1.16976
2025-09-11 02:00:00+02:00,1.16975,1.1698,1.1697,1.16977
2025-09-11 02:01:00+02:00,1.16975,1.1698,1.16975,1.1698
2025-09-11 02:02:00+02:00,1.16979,1.16982,1.16977,1.16979
2025-09-11 02:03:00+02:00,1.16978,1.16978,1.16975,1.16977
2025-09-11 02:04:00+02:00,1.16976,1.16979,1.1697,1.16978
2025-09-11 02:05:00+02:00,1.16977,1.16977,1.1697,1.16971
2025-09-11 02:06:00+02:00,1.16971,1.16982,1.16971,1.16981
2025-09-11 02:07:00+02:00,1.16984,1.1699,1.16981,1.1699
2025-09-11 02:08:00+02:00,1.16989,1.16989,1.1698,1.16986
2025-09-11 02:09:00+02:00,1.16986,1.1699,1.16984,1.1699
2025-09-11 02:10:00+02:00,1.1699,1.1699,1.16984,1.16987
2025-09-11 02:11:00+02:00,1.16987,1.16992,1.16984,1.16987
2025-09-11 02:12:00+02:00,1.16987,1.16988,1.16982,1.16984
2025-09-11 02:13:00+02:00,1.16984,1.16985,1.1698,1.16981
2025-09-11 02:14:00+02:00,1.16981,1.1699,1.16976,1.1699
2025-09-11 02:15:00+02:00,1.16987,1.16988,1.16981,1.16985
2025-09-11 02:16:00+02:00,1.16982,1.16984,1.16976,1.16979
2025-09-11 02:17:00+02:00,1.1698,1.1698,1.16979,1.1698
2025-09-11 02:18:00+02:00,1.1698,1.16981,1.16979,1.1698
2025-09-11 02:19:00+02:00,1.1698,1.1698,1.1697,1.1697
2025-09-11 02:20:00+02:00,1.16965,1.16968,1.16961,1.16966
2025-09-11 02:21:00+02:00,1.16966,1.16966,1.16951,1.16952
2025-09-11 02:22:00+02:00,1.1695,1.16952,1.1694,1.16941
2025-09-11 02:23:00+02:00,1.16939,1.16946,1.16939,1.16945
2025-09-11 02:24:00+02:00,1.16946,1.16952,1.16946,1.16948
2025-09-11 02:25:00+02:00,1.16947,1.16951,1.16943,1.1695
2025-09-11 02:26:00+02:00,1.16949,1.16952,1.16949,1.16952
2025-09-11 02:27:00+02:00,1.16952,1.16952,1.16952,1.16952
2025-09-11 02:28:00+02:00,1.16955,1.16959,1.16949,1.16954
2025-09-11 02:29:00+02:00,1.16955,1.16957,1.16954,1.16956
2025-09-11 02:30:00+02:00,1.16956,1.1696,1.16956,1.16958
2025-09-11 02:31:00+02:00,1.16957,1.16958,1.16953,1.16956
2025-09-11 02:32:00+02:00,1.16957,1.16959,1.16955,1.16956
2025-09-11 02:33:00+02:00,1.16958,1.16958,1.16955,1.16958
2025-09-11 02:34:00+02:00,1.16958,1.1696,1.1695,1.16959
2025-09-11 02:35:00+02:00,1.16961,1.16963,1.16958,1.16961
2025-09-11 02:36:00+02:00,1.16959,1.1696,1.16959,1.16959
2025-09-11 02:37:00+02:00,1.16959,1.16975,1.16959,1.16975
2025-09-11 02:38:00+02:00,1.16975,1.16983,1.16974,1.16983
2025-09-11 02:39:00+02:00,1.16985,1.16987,1.16985,1.16986
2025-09-11 02:40:00+02:00,1.16985,1.16985,1.16979,1.16979
2025-09-11 02:41:00+02:00,1.16979,1.16982,1.16971,1.16974
2025-09-11 02:42:00+02:00,1.16971,1.16973,1.16971,1.16973
2025-09-11 02:43:00+02:00,1.16971,1.16976,1.16971,1.16974
2025-09-11 02:44:00+02:00,1.16974,1.16975,1.16969,1.16972
2025-09-11 02:45:00+02:00,1.16972,1.1698,1.16972,1.16976
2025-09-11 02:46:00+02:00,1.16976,1.16982,1.16976,1.16982
2025-09-11 02:47:00+02:00,1.16984,1.16984,1.16972,1.16976
2025-09-11 02:48:00+02:00,1.16976,1.16976,1.16972,1.16973
2025-09-11 02:49:00+02:00,1.16972,1.16989,1.16972,1.16983
2025-09-11 02:50:00+02:00,1.16982,1.16984,1.16982,1.16982
2025-09-11 02:51:00+02:00,1.16979,1.16983,1.16972,1.16979
2025-09-11 02:52:00+02:00,1.16979,1.1698,1.16975,1.16978
2025-09-11 02:53:00+02:00,1.16978,1.16978,1.16973,1.16974
2025-09-11 02:54:00+02:00,1.16974,1.16974,1.16974,1.16974
2025-09-11 02:55:00+02:00,1.16975,1.16981,1.16974,1.16977
2025-09-11 02:56:00+02:00,1.16978,1.16981,1.16957,1.16958
2025-09-11 02:57:00+02:00,1.16958,1.16958,1.16954,1.16958
2025-09-11 02:58:00+02:00,1.16957,1.16963,1.16954,1.16963
2025-09-11 02:59:00+02:00,1.16961,1.16968,1.1696,1.16967
2025-09-11 03:00:00+02:00,1.16965,1.16977,1.16965,1.16977
2025-09-11 03:01:00+02:00,1.16978,1.16991,1.16978,1.16991
2025-09-11 03:02:00+02:00,1.16989,1.16991,1.16986,1.16991
2025-09-11 03:03:00+02:00,1.16992,1.16993,1.16992,1.16993
2025-09-11 03:04:00+02:00,1.16992,1.17004,1.16992,1.17002
2025-09-11 03:05:00+02:00,1.17003,1.17005,1.16997,1.16998
2025-09-11 03:06:00+02:00,1.16995,1.16998,1.16989,1.16996
2025-09-11 03:07:00+02:00,1.16997,1.16998,1.16996,1.16998
2025-09-11 03:08:00+02:00,1.17,1.17,1.16994,1.16995
2025-09-11 03:09:00+02:00,1.16996,1.16997,1.16994,1.16995
2025-09-11 03:10:00+02:00,1.16995,1.16998,1.16994,1.16998
2025-09-11 03:11:00+02:00,1.16998,1.16998,1.16986,1.16986
2025-09-11 03:12:00+02:00,1.16986,1.16999,1.16984,1.16999
2025-09-11 03:13:00+02:00,1.16998,1.16998,1.16985,1.16985
2025-09-11 03:14:00+02:00,1.16988,1.16989,1.16985,1.16985
2025-09-11 03:15:00+02:00,1.16982,1.16982,1.16973,1.16977
2025-09-11 03:16:00+02:00,1.16975,1.16976,1.1697,1.16972
2025-09-11 03:17:00+02:00,1.16971,1.16973,1.1697,1.16973
