base_impact,coef,impact_pred,error
40,0.0,42.0,9.700000000000003
40,0.05,40.82596866602903,10.874031333970976
40,0.1,39.651937332058054,12.048062667941949
40,0.15000000000000002,38.477905998087095,13.222094001912907
40,0.2,37.30387466411612,14.39612533588388
40,0.25,36.12984333014515,15.570156669854853
40,0.30000000000000004,34.95581199617418,16.744188003825826
40,0.35000000000000003,33.781780662203204,17.9182193377968
40,0.4,32.60774932823224,19.092250671767765
40,0.45,31.433717994261258,20.266282005738745
42,0.0,44.1,7.600000000000001
42,0.05,42.86726709933048,8.83273290066952
42,0.1,41.63453419866096,10.065465801339045
42,0.15000000000000002,40.40180129799145,11.298198702008555
42,0.2,39.16906839732192,12.53093160267808
42,0.25,37.936335496652404,13.763664503347599
42,0.30000000000000004,36.70360259598288,14.996397404017124
42,0.35000000000000003,35.47086969531337,16.229130304686635
42,0.4,34.23813679464385,17.461863205356153
42,0.45,33.005403893974325,18.694596106025678
44,0.0,46.2,5.5
44,0.05,44.90856553263193,6.79143446736807
44,0.1,43.61713106526386,8.08286893473614
44,0.15000000000000002,42.3256965978958,9.374303402104204
44,0.2,41.03426213052773,10.665737869472274
44,0.25,39.74282766315966,11.957172336840344
44,0.30000000000000004,38.45139319579159,13.248606804208414
44,0.35000000000000003,37.159958728423526,14.540041271576477
44,0.4,35.86852426105546,15.83147573894454
44,0.45,34.577089793687385,17.122910206312618
46,0.0,48.300000000000004,3.3999999999999986
46,0.05,46.94986396593338,4.750136034066621
46,0.1,45.59972793186677,6.100272068133236
46,0.15000000000000002,44.24959189780016,7.4504081021998445
46,0.2,42.899455863733536,8.800544136266467
46,0.25,41.54931982966692,10.150680170333082
46,0.30000000000000004,40.1991837956003,11.500816204399705
46,0.35000000000000003,38.84904776153368,12.85095223846632
46,0.4,37.498911727467075,14.201088272532928
46,0.45,36.148775693400445,15.551224306599558
48,0.0,50.400000000000006,1.2999999999999972
48,0.05,48.99116239923484,2.7088376007651647
48,0.1,47.58232479846967,4.117675201530332
48,0.15000000000000002,46.17348719770451,5.526512802295493
48,0.2,44.76464959693934,6.93535040306066
48,0.25,43.355811996174175,8.344188003825828
48,0.30000000000000004,41.94697439540901,9.753025604590995
48,0.35000000000000003,40.53813679464385,11.161863205356156
48,0.4,39.12929919387868,12.570700806121323
48,0.45,37.72046159311351,13.97953840688649
50,0.0,52.5,0.7999999999999972
50,0.05,51.03246083253629,0.6675391674637154
50,0.1,49.56492166507257,2.135078334927435
50,0.15000000000000002,48.09738249760886,3.6026175023911406
50,0.2,46.62984333014515,5.070156669854853
50,0.25,45.16230416268143,6.537695837318573
50,0.30000000000000004,43.69476499521772,8.005235004782286
50,0.35000000000000003,42.227225827754005,9.472774172245998
50,0.4,40.75968666029029,10.94031333970971
50,0.45,39.29214749282657,12.40785250717343
52,0.0,54.6,2.8999999999999986
52,0.05,53.07375926583774,1.3737592658377338
52,0.1,51.54751853167547,0.15248146832453102
52,0.15000000000000002,50.02127779751322,1.6787222024867816
52,0.2,48.495037063350956,3.2049629366490464
52,0.25,46.96879632918869,4.731203670811311
52,0.30000000000000004,45.44255559502643,6.257444404973576
52,0.35000000000000003,43.91631486086417,7.783685139135834
52,0.4,42.390074126701904,9.309925873298099
52,0.45,40.86383339253964,10.836166607460363
54,0.0,56.7,5.0
54,0.05,55.115057699139186,3.415057699139183
54,0.1,53.530115398278376,1.830115398278373
54,0.15000000000000002,51.94517309741757,0.24517309741757032
54,0.2,50.36023079655676,1.3397692034432396
54,0.25,48.775288495695946,2.9247115043040566
54,0.30000000000000004,47.190346194835136,4.5096538051648665
54,0.35000000000000003,45.60540389397433,6.094596106025676
54,0.4,44.02046159311352,7.679538406886486
54,0.45,42.4355192922527,9.264480707747303
56,0.0,58.800000000000004,7.100000000000001
56,0.05,57.15635613244064,5.456356132440639
56,0.1,55.51271226488128,3.8127122648812772
56,0.15000000000000002,53.869068397321925,2.1690683973219222
56,0.2,52.22542452976256,0.5254245297625602
56,0.25,50.5817806622032,1.118219337796802
56,0.30000000000000004,48.93813679464384,2.761863205356164
56,0.35000000000000003,47.294492927084484,4.405507072915519
56,0.4,45.65084905952513,6.049150940474874
56,0.45,44.00720519196576,7.692794808034243
58,0.0,60.900000000000006,9.200000000000003
58,0.05,59.19765456574209,7.4976545657420886
58,0.1,57.495309131484184,5.795309131484181
58,0.15000000000000002,55.792963697226284,4.092963697226281
58,0.2,54.09061826296837,2.390618262968367
58,0.25,52.38827282871046,0.6882728287104598
58,0.30000000000000004,50.68592739445255,1.0140726055474545
58,0.35000000000000003,48.98358196019465,2.7164180398053546
58,0.4,47.28123652593674,4.418763474063262
58,0.45,45.57889109167883,6.121108908321176
