time_group,num_events,event_keys,event_titles,countries,max_empirical_score,mean_empirical_score,impact_reel_pips,surprise_pct,year
2024-05-30 11:00:00+02:00,2,"consumer confidence,unemployment rate",Consumer Confidence | Unemployment Rate,EU,58.03,57.465,4.1,5.319148936170213,2024
2024-08-09 10:00:00+02:00,2,"harmonised inflation rate,inflation rate",Harmonised Inflation Rate | Inflation Rate,IT,57.88,57.480000000000004,1.5,5.882352941176463,2024
2024-01-09 10:00:00+01:00,1,unemployment rate,Unemployment Rate,IT,56.36,56.36,10.3,5.06329113924051,2024
2024-05-09 14:30:00+02:00,2,"continuing jobless claims,initial jobless claims",Continuing Jobless Claims | Initial Jobless Claims,US,71.98,71.33000000000001,27.8,10.0,2024
2025-09-11 14:30:00+02:00,6,"continuing jobless claims,core inflation rate,cpi,cpi s a,inflation rate,initial jobless claims",Continuing Jobless Claims | Core Inflation Rate | CPI,US,81.7,76.90833333333333,59.2,11.914893617021278,2025
2025-08-29 01:30:00+02:00,3,"core cpi,cpi,unemployment rate",Core CPI | CPI | Unemployment Rate,JP,28.35,27.126666666666665,5.7,11.111111111111104,2025
2025-04-30 01:50:00+02:00,2,"industrial production,retail sales",Industrial Production | Retail Sales,JP,28.36,27.555,10.8,11.428571428571425,2025
2025-07-25 10:00:00+02:00,1,consumer confidence,Consumer Confidence,IT,57.78,57.78,8.9,15.789473684210542,2025
2025-07-01 09:30:00+02:00,1,procure ch manufacturing pmi,procure.ch Manufacturing PMI,CH,54.61,54.61,3.5,12.727272727272732,2025
2025-01-24 00:30:00+01:00,4,"core inflation rate,cpi,inflation rate,inflation rate ex food and energy",Core Inflation Rate | CPI | Inflation Rate,JP,28.07,25.995,3.5,12.499999999999996,2025
2025-04-03 16:00:00+02:00,2,"ism non manufacturing pmi,ism services pmi",ISM Non-Manufacturing PMI | ISM Services PMI,US,75.21,74.44999999999999,39.9,12.830188679245277,2025
2025-05-27 16:00:00+02:00,1,cb consumer confidence,CB Consumer Confidence,US,60.04,60.04,21.1,12.643678160919542,2025
2025-02-26 08:00:00+01:00,1,consumer confidence,Consumer Confidence,DE,50.21,50.21,0.9,15.420560747663556,2025
2025-07-29 10:00:00+02:00,1,trade balance,Trade Balance,IT,54.51,54.51,22.1,10.344827586206891,2025
2025-01-08 08:45:00+01:00,2,"consumer confidence,trade balance",Consumer Confidence | Trade Balance,FR,58.51,55.735,18.8,15.000000000000002,2025
2025-08-29 16:00:00+02:00,6,"inflation expectations,michigan 5 year inflation expectations,michigan consumer expectations,michigan consumer sentiment,michigan current conditions,michigan inflation expectations",Inflation Expectations | Michigan 5 Year Inflation Expectations | Michigan Consumer Expectations,US,62.74,50.59,31.7,10.256410256410255,2025
2025-04-25 01:30:00+02:00,2,"core cpi,cpi",Core CPI | CPI,JP,28.07,26.515,19.4,12.90322580645161,2025
2025-05-15 08:45:00+02:00,3,"cpi,harmonised inflation rate,inflation rate",CPI | Harmonised Inflation Rate | Inflation Rate,FR,66.35,63.70666666666667,15.2,19.999999999999996,2025
2025-08-22 01:01:00+02:00,1,consumer confidence,Consumer Confidence,GB,29.86,29.86,3.4,15.0,2025
2024-03-21 09:30:00+01:00,4,"hcob composite pmi,hcob manufacturing pmi,hcob services pmi,snb interest rate decision",HCOB Composite PMI | HCOB Manufacturing PMI | HCOB Services PMI,"CH,DE",69.27,66.81,26.8,14.285714285714285,2024
2024-02-07 08:45:00+01:00,1,private non farm payrolls,Private Non Farm Payrolls,FR,35.32,35.32,9.5,13.816666666666663,2024
