time_group,num_events,max_score,phase1_pips,phase1_direction,pullback_pips,impact_net_pips,pullback_ratio
2025-03-19 19:00:00,11,64.67768311660907,8.500000000000174,1,5.999999999999339,2.500000000000835,0.7058823529410843
2023-06-14 20:00:00,6,64.67768311660907,18.099999999998673,-1,8.499999999997954,9.600000000000719,0.46961325966842965
2023-06-15 00:00:00,4,64.67768311660907,1.9999999999997797,1,0.8999999999992347,1.100000000000545,0.44999999999966694
2022-10-24 19:45:00,3,63.305740150233156,5.0000000000005596,-1,2.300000000000635,2.6999999999999247,0.4600000000000755
2023-11-01 14:45:00,2,63.305740150233156,19.399999999998307,1,0.1999999999990898,19.199999999999218,0.010309278350469445
2024-12-16 15:45:00,6,63.305740150233156,4.500000000000615,1,6.999999999999229,-2.4999999999986144,1.5555555555551717
2023-09-22 15:45:00,6,63.305740150233156,11.699999999998933,1,3.8999999999989043,7.800000000000029,0.3333333333332701
2022-12-01 20:45:00,1,63.305740150233156,6.799999999997919,1,4.299999999999304,2.4999999999986144,0.6323529411765618
2024-10-01 15:45:00,2,63.305740150233156,8.790000000000742,1,9.310000000000151,-0.5199999999994098,1.0591581342433865
2024-06-03 15:45:00,2,63.305740150233156,13.700000000000934,1,15.799999999999148,-2.0999999999982144,1.1532846715327059
2022-11-01 18:45:00,1,63.305740150233156,8.500000000000174,1,1.9999999999997797,6.500000000000394,0.2352941176470281
2024-04-01 15:45:00,2,63.305740150233156,17.199999999999438,-1,8.099999999999774,9.099999999999664,0.47093023255814176
2025-03-24 14:45:00,6,63.305740150233156,18.000000000000238,-1,10.699999999999044,7.300000000001194,0.5944444444443835
2023-08-01 19:45:00,2,63.305740150233156,2.2999999999995246,-1,10.900000000000354,-8.60000000000083,4.739130434783742
2025-08-01 15:45:00,2,63.305740150233156,17.199999999999438,1,23.099999999998122,-5.899999999998684,1.3430232558138882
2024-06-21 15:45:00,6,63.305740150233156,5.499999999998284,1,3.1000000000003247,2.3999999999979593,0.5636363636365985
2023-12-15 15:45:00,6,63.305740150233156,5.399999999999849,1,3.8999999999989043,1.500000000000945,0.7222222222220395
2024-05-01 15:45:00,2,63.305740150233156,5.399999999999849,1,1.900000000001345,3.4999999999985043,0.35185185185211076
2024-08-22 15:45:00,6,63.305740150233156,11.449999999999516,-1,6.749999999999812,4.699999999999704,0.5895196506550303
2025-09-02 15:45:00,2,63.305740150233156,14.199999999999768,1,17.899999999999583,-3.6999999999998145,1.2605633802816814
2023-10-02 15:45:00,2,63.305740150233156,4.500000000000615,-1,11.600000000000499,-7.099999999999884,2.5777777777775364
2024-04-23 15:45:00,6,63.305740150233156,13.500000000001844,1,9.40000000000163,4.100000000000215,0.6962962962963218
2025-04-23 15:45:00,6,63.305740150233156,52.30000000000068,-1,36.300000000000225,16.000000000000455,0.6940726577437811
2024-05-23 15:45:00,6,63.305740150233156,13.500000000001844,-1,4.60000000000127,8.900000000000574,0.34074074074078825
2023-02-01 15:45:00,2,63.305740150233156,4.199999999998649,1,10.699999999999044,-6.500000000000394,2.5476190476196394
2023-03-24 18:45:00,6,63.305740150233156,5.799999999998029,-1,1.100000000000545,4.699999999997484,0.18965517241395152
2024-08-01 15:45:00,2,63.305740150233156,11.599999999998278,1,7.049999999999557,4.549999999998722,0.6077586206897072
2024-01-24 15:45:00,8,63.305740150233156,11.200000000000099,-1,0.10000000000065512,11.099999999999444,0.008928571428629843
2025-01-24 15:45:00,6,63.305740150233156,5.1000000000001044,-1,13.900000000000023,-8.799999999999919,2.72549019607838
2025-03-03 15:45:00,2,63.305740150233156,5.800000000000249,1,2.20000000000109,3.5999999999991594,0.37931034482775783
2022-12-16 15:45:00,2,63.305740150233156,11.900000000000244,1,29.50000000000008,-17.599999999999838,2.4789915966386116
2023-04-03 19:45:00,2,63.305740150233156,1.7000000000000348,1,2.900000000001235,-1.2000000000012,1.7058823529418679
2024-02-22 15:45:00,6,63.305740150233156,7.800000000000029,-1,0.8999999999992347,6.900000000000794,0.11538461538451684
2023-04-21 19:45:00,6,63.305740150233156,6.399999999999739,1,6.099999999999994,0.2999999999997449,0.953125000000038
2023-07-24 15:45:00,6,63.305740150233156,16.299999999997983,-1,1.8999999999991246,14.399999999998858,0.11656441717787483
2023-12-01 15:45:00,2,63.305740150233156,10.300000000000864,-1,4.700000000001925,5.599999999998939,0.4563106796117991
2023-10-24 15:45:00,6,63.305740150233156,18.400000000000638,1,1.900000000001345,16.499999999999293,0.1032608695652869
2023-01-03 15:45:00,2,63.305740150233156,15.499999999999403,-1,1.500000000000945,13.999999999998458,0.09677419354845179
2023-03-01 20:45:00,2,63.305740150233156,5.800000000000249,1,1.2000000000012,4.599999999999049,0.20689655172433594
2025-05-01 15:45:00,2,63.305740150233156,9.700000000001374,-1,11.899999999998023,-2.199999999996649,1.2268041237109626
2023-06-23 15:45:00,6,63.305740150233156,10.000000000001119,-1,10.700000000001264,-0.700000000000145,1.0700000000000067
2024-11-01 14:45:00,2,63.305740150233156,9.429999999999161,-1,1.1899999999998023,8.239999999999359,0.12619300106043566
2023-01-24 15:45:00,6,63.305740150233156,18.800000000001038,1,5.699999999999594,13.100000000001444,0.3031914893616638
2024-07-01 15:45:00,2,63.305740150233156,4.300000000001525,-1,5.199999999998539,-0.8999999999970143,1.2093023255806268
