20250901 025600;1.172580;1.172700;1.172540;1.172690;0
20250901 025700;1.172670;1.172680;1.172500;1.172630;0
20250901 025800;1.172610;1.172700;1.172540;1.172580;0
20250901 025900;1.172600;1.172630;1.172510;1.172510;0
20250901 030000;1.172500;1.172570;1.172420;1.172540;0
20250901 030100;1.172510;1.172710;1.172500;1.172680;0
20250901 030200;1.172670;1.172780;1.172570;1.172570;0
20250901 030300;1.172550;1.172670;1.172480;1.172530;0
20250901 030400;1.172540;1.172580;1.172430;1.172470;0
20250901 030500;1.172480;1.172550;1.172310;1.172440;0
20250901 030600;1.172450;1.172480;1.172260;1.172420;0
20250901 030700;1.172420;1.172430;1.172340;1.172390;0
20250901 030800;1.172390;1.172440;1.172210;1.172210;0
20250901 030900;1.172200;1.172200;1.172030;1.172110;0
20250901 031000;1.172090;1.172180;1.172060;1.172120;0
20250901 031100;1.172140;1.172240;1.172140;1.172220;0
20250901 031200;1.172200;1.172220;1.171940;1.172000;0
20250901 031300;1.172020;1.172020;1.171720;1.171850;0
20250901 031400;1.171860;1.171910;1.171810;1.171890;0
20250901 031500;1.171890;1.172080;1.171840;1.172040;0
20250901 031600;1.172050;1.172230;1.172050;1.172160;0
20250901 031700;1.172150;1.172150;1.171890;1.171930;0
20250901 031800;1.171910;1.172010;1.171850;1.172010;0
20250901 031900;1.172030;1.172140;1.171990;1.172050;0
20250901 032000;1.172040;1.172220;1.172040;1.172170;0
20250901 032100;1.172150;1.172170;1.171960;1.172010;0
20250901 032200;1.172030;1.172170;1.172030;1.172170;0
20250901 032300;1.172140;1.172280;1.172120;1.172220;0
20250901 032400;1.172210;1.172230;1.172090;1.172100;0
20250901 032500;1.172110;1.172110;1.171960;1.172090;0
20250901 032600;1.172090;1.172160;1.172020;1.172150;0
20250901 032700;1.172140;1.172150;1.172030;1.172110;0
20250901 032800;1.172110;1.172210;1.172110;1.172210;0
20250901 032900;1.172240;1.172260;1.172150;1.172190;0
20250901 033000;1.172180;1.172180;1.172010;1.172040;0
20250901 033100;1.172020;1.172020;1.171830;1.171850;0
20250901 033200;1.171840;1.171940;1.171800;1.171890;0
20250901 033300;1.171910;1.171910;1.171590;1.171590;0
20250901 033400;1.171610;1.171800;1.171600;1.171650;0
20250901 033500;1.171680;1.171720;1.171510;1.171530;0
20250901 033600;1.171550;1.171710;1.171550;1.171710;0
20250901 033700;1.171740;1.171810;1.171700;1.171800;0
20250901 033800;1.171790;1.171810;1.171720;1.171720;0
20250901 033900;1.171710;1.171720;1.171630;1.171700;0
20250901 034000;1.171680;1.171720;1.171620;1.171710;0
20250901 034100;1.171720;1.171740;1.171570;1.171610;0
20250901 034200;1.171620;1.171700;1.171560;1.171690;0
20250901 034300;1.171710;1.171820;1.171710;1.171810;0
20250901 034400;1.171830;1.171830;1.171700;1.171800;0
20250901 034500;1.171810;1.171950;1.171810;1.171830;0
20250901 034600;1.171820;1.171970;1.171810;1.171830;0
20250901 034700;1.171820;1.171870;1.171740;1.171750;0
20250901 034800;1.171730;1.171760;1.171700;1.171710;0
20250901 034900;1.171730;1.171790;1.171640;1.171740;0
20250901 035000;1.171760;1.172010;1.171760;1.172000;0
20250901 035100;1.172000;1.172040;1.171960;1.172030;0
20250901 035200;1.172070;1.172190;1.172010;1.172170;0
20250901 035300;1.172160;1.172160;1.172080;1.172160;0
20250901 035400;1.172170;1.172290;1.172050;1.172090;0
20250901 035500;1.172070;1.172270;1.171950;1.172240;0
20250901 035600;1.172230;1.172420;1.172230;1.172380;0
20250901 035700;1.172400;1.172510;1.172360;1.172500;0
20250901 035800;1.172490;1.172600;1.172470;1.172570;0
20250901 035900;1.172560;1.172610;1.172470;1.172510;0
20250901 040000;1.172500;1.172540;1.172440;1.172480;0
20250901 040100;1.172490;1.172590;1.172480;1.172530;0
20250901 040200;1.172540;1.172580;1.172450;1.172470;0
20250901 040300;1.172440;1.172460;1.172080;1.172120;0
20250901 040400;1.172120;1.172190;1.171930;1.172000;0
20250901 040500;1.171990;1.172100;1.171890;1.172030;0
20250901 040600;1.172040;1.172060;1.171940;1.172010;0
20250901 040700;1.172000;1.172070;1.171950;1.172050;0
20250901 040800;1.172050;1.172120;1.172010;1.172020;0
20250901 040900;1.172010;1.172030;1.171860;1.171970;0
20250901 041000;1.171960;1.172180;1.171960;1.172020;0
20250901 041100;1.171980;1.171980;1.171770;1.171920;0
20250901 041200;1.171910;1.171920;1.171820;1.171820;0
20250901 041300;1.171840;1.172010;1.171820;1.172010;0
20250901 041400;1.171990;1.172070;1.171920;1.172040;0
20250901 041500;1.172050;1.172240;1.171890;1.172050;0
20250901 041600;1.172040;1.172050;1.171900;1.171980;0
20250901 041700;1.172000;1.172020;1.171890;1.172020;0
20250901 041800;1.172000;1.172060;1.171940;1.172060;0
20250901 041900;1.172050;1.172120;1.171880;1.171890;0
20250901 042000;1.171880;1.171900;1.171580;1.171630;0
20250901 042100;1.171670;1.171890;1.171650;1.171860;0
20250901 042200;1.171850;1.171920;1.171790;1.171790;0
20250901 042300;1.171800;1.171870;1.171780;1.171820;0
20250901 042400;1.171810;1.171930;1.171750;1.171860;0
20250901 042500;1.171860;1.172060;1.171850;1.172060;0
20250901 042600;1.172060;1.172220;1.172050;1.172180;0
20250901 042700;1.172170;1.172320;1.172160;1.172250;0
20250901 042800;1.172230;1.172290;1.172170;1.172190;0
20250901 042900;1.172200;1.172200;1.172040;1.172040;0
20250901 043000;1.172080;1.172410;1.172080;1.172210;0
20250901 043100;1.172220;1.172340;1.172210;1.172300;0
20250901 043200;1.172300;1.172330;1.172190;1.172200;0
20250901 043300;1.172190;1.172240;1.172130;1.172180;0
20250901 043400;1.172180;1.172190;1.172110;1.172140;0
20250901 043500;1.172120;1.172350;1.172100;1.172340;0
20250901 043600;1.172350;1.172370;1.172310;1.172320;0
20250901 043700;1.172320;1.172440;1.172310;1.172440;0
20250901 043800;1.172460;1.172460;1.172230;1.172290;0
20250901 043900;1.172300;1.172490;1.172300;1.172490;0
20250901 044000;1.172500;1.172520;1.172340;1.172340;0
20250901 044100;1.172330;1.172510;1.172310;1.172450;0
20250901 044200;1.172450;1.172540;1.172390;1.172440;0
