date,wave1_pips,wave2_pips,total_pips,pullback1_ratio,pullback2_ratio,confidence,direction
2025-09-08,5.7,29.6,35.300000000000004,0.702,0.226,75.0,bullish
2025-09-09,8.6,10.5,19.1,0.384,0.362,80.0,bearish
2025-09-11,33.7,51.7,85.4,0.736,0.462,95.0,bullish
2025-09-12,10.2,11.4,21.6,0.598,0.579,80.0,bearish
2025-09-15,7.0,9.2,16.2,0.771,0.63,95.0,bullish
2025-09-17,10.5,18.3,28.8,0.562,0.388,85.0,bullish
2025-09-18,19.1,69.8,88.9,0.466,0.249,75.0,bearish
2025-09-22,9.7,13.6,23.299999999999997,0.433,0.426,95.0,bullish
2025-09-24,5.8,23.9,29.7,0.81,0.255,70.0,bearish
2025-09-25,48.6,56.2,104.80000000000001,0.383,0.26,80.0,bearish
2025-09-29,17.8,30.2,48.0,0.337,0.301,95.0,bullish
2025-09-30,8.0,24.5,32.5,0.6,0.612,75.0,bearish
2025-10-07,6.7,10.3,17.0,0.672,0.32,95.0,bullish
2025-10-09,7.2,14.8,22.0,0.958,0.966,95.0,bullish
2025-10-10,5.0,12.5,17.5,0.84,0.944,95.0,bearish
2025-10-15,6.6,15.6,22.2,0.576,0.558,95.0,bearish
2025-10-28,2.9,4.3,7.199999999999999,0.897,0.791,95.0,bullish
2025-10-29,8.6,11.2,19.799999999999997,0.488,0.321,90.0,bullish
2025-10-31,13.0,17.7,30.7,0.362,0.39,85.0,bearish
