ts_utc,open,high,low,close,volume
2025-07-15 13:29:00+02:00,1.16728,1.16728,1.1672,1.16722,47
2025-07-15 13:30:00+02:00,1.16719,1.16724,1.16704,1.16704,85
2025-07-15 13:31:00+02:00,1.16706,1.1671,1.16701,1.16701,74
2025-07-15 13:32:00+02:00,1.16702,1.16709,1.167,1.167,85
2025-07-15 13:33:00+02:00,1.167,1.16708,1.16696,1.16704,58
2025-07-15 13:34:00+02:00,1.16704,1.16726,1.16702,1.16724,84
2025-07-15 13:35:00+02:00,1.16724,1.16736,1.16722,1.16728,78
2025-07-15 13:36:00+02:00,1.16728,1.16729,1.167,1.16702,91
2025-07-15 13:37:00+02:00,1.16702,1.16706,1.16696,1.16702,68
2025-07-15 13:38:00+02:00,1.16701,1.16704,1.16698,1.167,52
2025-07-15 13:39:00+02:00,1.16698,1.16704,1.16696,1.16702,26
2025-07-15 13:40:00+02:00,1.16702,1.16712,1.16698,1.16702,64
2025-07-15 13:41:00+02:00,1.16702,1.16708,1.16699,1.16702,29
2025-07-15 13:42:00+02:00,1.16702,1.16702,1.16697,1.16702,29
2025-07-15 13:43:00+02:00,1.16702,1.16713,1.16701,1.16703,51
2025-07-15 13:44:00+02:00,1.16702,1.16703,1.16682,1.16685,73
2025-07-15 13:45:00+02:00,1.16686,1.16687,1.16677,1.16682,85
2025-07-15 13:46:00+02:00,1.16681,1.16698,1.16681,1.16696,79
2025-07-15 13:47:00+02:00,1.16696,1.16704,1.16695,1.16695,64
2025-07-15 13:48:00+02:00,1.16694,1.16703,1.16694,1.16698,84
2025-07-15 13:49:00+02:00,1.16698,1.16702,1.16696,1.16696,37
2025-07-15 13:50:00+02:00,1.16697,1.16718,1.16697,1.16712,72
2025-07-15 13:51:00+02:00,1.16713,1.16719,1.16702,1.16703,91
2025-07-15 13:52:00+02:00,1.16702,1.16708,1.16702,1.16706,53
2025-07-15 13:53:00+02:00,1.16705,1.16712,1.16704,1.16708,52
2025-07-15 13:54:00+02:00,1.16708,1.16708,1.16687,1.16687,85
2025-07-15 13:55:00+02:00,1.16688,1.16711,1.16685,1.16704,136
2025-07-15 13:56:00+02:00,1.16704,1.16708,1.16684,1.16686,113
2025-07-15 13:57:00+02:00,1.16688,1.16704,1.16681,1.16695,188
2025-07-15 13:58:00+02:00,1.16694,1.167,1.1668,1.167,140
2025-07-15 13:59:00+02:00,1.167,1.16703,1.16691,1.16697,84
