date,num_events,impact_simple,impact_base_formule,impact_amplifie,impact_real,correction_factor_real,ratio_vs_0758,num_events_log,num_events_sqrt,surprise_net,surprise_max,surprise_mean,surprise_std,surprise_range,same_direction_ratio,opposite_directions_count,correlation_directions,num_families,same_family_ratio,trend_r2,trend_amplitude,trend_duration,trend_direction,impact_simple_log
2025-07-15,126,1220.2463728159603,33.79351664438182,94.62184660426908,44.29999999999934,0.46817940665724284,0.6176509322654918,4.844187086458591,11.224972160321824,-584.7788362735802,1250.0,60.00379973183358,176.4629687096294,2305.0,0.43333333333333335,1989,0.01777777777777767,59,0.1349206349206349,0.0,0.0,0.0,0,7.107627233294003
2025-11-26,109,3005.054072750169,30.61181152550651,85.71307227141823,34.50000000000175,0.40250569820615417,0.5310101559447944,4.700480365792417,10.44030650891055,-990.5878042842526,1000.0,108.1100446471181,199.57726398328447,1654.8,0.6349206349206349,920,0.07281431090954882,92,0.03669724770642202,0.0,0.0,0.0,0,8.008383558424642
2024-12-13,104,1025.8260329625148,26.212231114446205,73.39424712044936,32.7999999999995,0.4469015118606026,0.5895798309506631,4.653960350157523,10.198039027185569,-2579.9319010163654,700.0,73.44050138128117,132.8709260786879,1332.0,0.3333333333333333,1568,0.11111111111111127,54,0.125,0.0,0.0,0.0,0,6.9342278021646
2024-09-12,101,1458.4266694149208,30.942987710967074,86.6403655907078,18.799999999998818,0.21698892741070244,0.286265075739713,4.624972813284271,10.04987562112089,680.9989818528794,1000.0,88.24165302078893,203.01118352983633,1900.0,0.654320987654321,1484,0.09525986892242033,62,0.0891089108910891,0.0,0.0,0.0,0,7.285798945397055
2024-08-13,65,807.7118131605677,27.390829800264783,76.69432344074139,34.30000000000044,0.4472299703706581,0.5900131535232956,4.189654742026425,8.06225774829855,-1352.2848890312384,1000.0,73.93826683885351,188.4549439111493,1460.0,0.41935483870967744,936,0.026014568158168494,43,0.12307692307692308,0.0,0.0,0.0,0,6.695442627588221
2024-07-11,90,1284.3667288789109,31.4219448960775,87.981445709017,52.00000000000094,0.5910337069475046,0.7797278455771828,4.51085950651685,9.486832980505138,-3315.7164311417987,1100.0,62.508701304387095,148.195288374357,1326.3243243243244,0.7837837837837838,928,0.32213294375456536,55,0.08888888888888889,0.0,0.0,0.0,0,7.158799348736401
2024-06-12,94,1865.834268505096,25.206745672394504,70.5788878827046,77.19999999999949,1.0938115110045166,1.443023101589072,4.553876891600541,9.695359714832659,18896.31884341487,19584.615384615387,351.7275903045191,2255.848911029969,19984.615384615387,0.3783783783783784,1288,0.05916727538349176,63,0.09574468085106383,0.0,0.0,0.0,0,7.531999370723705
2024-05-15,136,1805.8846081227744,32.303573070785625,90.45000459819974,38.10000000000091,0.42122717593271664,0.5557086753729771,4.919980925828125,11.661903789690601,-917.0909924611569,1199.9999999999998,68.46995430563558,167.83083068110287,1628.5714285714284,0.652542372881356,3157,0.09307670209709884,73,0.08823529411764706,0.0,0.0,0.0,0,7.499359430292425
2024-04-10,101,1345.2710129229567,33.37465627611343,93.4490375731176,117.59999999999992,1.2584399267674193,1.660210985181292,4.624972813284271,10.04987562112089,-914.513728901522,1406.6666666666667,100.9609922358934,228.50891638481954,2105.6691604322527,0.36470588235294116,1674,0.07321799307958476,54,0.1188118811881188,0.0,0.0,0.0,0,7.205093836833806
2024-03-12,82,895.9505611333,31.950436434781196,89.46122201738734,12.699999999998823,0.14196094926504021,0.18728357422828523,4.418840607796598,9.055385138137417,-2213.5512240246567,1920.0,112.2637674136447,309.25252953033004,2820.0,0.4583333333333333,1287,0.006944444444444642,42,0.10975609756097561,0.0,0.0,0.0,0,6.799000744746443
2024-02-13,56,956.6597309680913,32.47110689997204,90.91909931992171,91.60000000000056,1.007489082988855,1.3291412704338457,4.04305126783455,7.483314773547883,797.8599068407729,1300.0,77.90112320164685,198.04577806181243,1876.923076923077,0.4339622641509434,690,0.017443930224279147,33,0.125,0.0,0.0,0.0,0,6.864492527996153
2024-01-11,67,969.0141213969939,34.6909274151,97.13459676228,58.00000000000027,0.5971095977465698,0.7877435326471897,4.219507705176107,8.18535277187245,-405.3573371469113,650.0,54.92343778746822,113.92538772405618,1150.0,0.38095238095238093,936,0.056689342403627996,38,0.11940298507462686,0.0,0.0,0.0,0,6.8773106295326905
2023-12-12,61,866.032500021267,32.731335555179996,91.64773955450399,42.800000000000615,0.46700551708148735,0.616102265279007,4.127134385045092,7.810249675906654,1003.1535804223879,2000.0,98.42021886831334,277.0321512062621,2700.0,0.3728813559322034,814,0.06463659867854055,40,0.09836065573770492,0.0,0.0,0.0,0,6.765076461684972
2023-11-14,75,1132.2267721635722,28.127598439875747,78.75727563165209,117.40000000000083,1.4906559306225982,1.966564552272557,4.330733340286331,8.660254037844387,-1391.1481044000557,375.0,47.08351066135819,81.0670601711369,575.0,0.6875,880,0.140625,53,0.08,0.0,0.0,0.0,0,7.032824392954003
2023-09-13,67,1179.9498131317846,32.89491379685226,92.10575863118632,30.200000000000227,0.32788395045882324,0.4325645784417193,4.219507705176107,8.18535277187245,4516.4788630958365,2600.0,159.32689882110546,445.0583824102848,3757.370517928287,0.5606060606060606,1073,0.01469237832874215,46,0.07462686567164178,0.0,0.0,0.0,0,7.074074320063072
2023-08-10,105,908.8528879632099,34.8692227281132,97.63382363871696,32.90000000000015,0.3369733845695004,0.4445559163186021,4.663439094112067,10.246950765959598,-4478.549591372461,2300.0,82.87946920517922,262.6940921069914,2800.0,0.6237623762376238,2394,0.0612685030879323,49,0.11428571428571428,0.0,0.0,0.0,0,6.813282924863364
