movement_id,direction,impact_pips,pattern_type_v1,pattern_type_v2
115,DOWN,41.87999999999859,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
116,UP,47.31999999999958,DOUBLE_WAVE,DOUBLE_WAVE_UP
117,DOWN,53.28999999999917,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
118,DOWN,60.2999999999998,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
119,UP,45.36000000000095,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
120,DOWN,44.2100000000023,SINGLE_WAVE_STANDARD,SINGLE_WAVE_FORT_DOWN
121,UP,106.34000000000032,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
122,UP,64.50000000000067,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
123,DOWN,50.10999999999876,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
124,DOWN,51.760000000000694,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
125,UP,42.58000000000095,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
126,DOWN,43.48000000000019,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
127,DOWN,42.99000000000053,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
128,UP,68.59000000000171,DOUBLE_WAVE,DOUBLE_WAVE_UP
129,DOWN,56.450000000001225,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
130,DOWN,40.82999999999837,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
131,DOWN,64.2100000000001,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
132,UP,40.62999999999928,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
133,DOWN,92.39999999999694,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
134,DOWN,92.56000000000154,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
135,DOWN,42.0699999999985,SINGLE_WAVE_FAIBLE,DOUBLE_WAVE_DOWN
136,UP,44.88000000000048,DOUBLE_WAVE,DOUBLE_WAVE_UP
137,DOWN,41.49999999999877,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
138,UP,41.04000000000107,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
139,UP,47.84000000000121,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
140,UP,50.62000000000122,DOUBLE_WAVE,DOUBLE_WAVE_UP
141,UP,52.21000000000142,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
142,DOWN,41.52999999999851,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
143,UP,40.86999999999952,SINGLE_WAVE_FORT,SINGLE_WAVE_FORT_UP
144,DOWN,54.029999999998246,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
145,DOWN,98.27999999999948,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
146,DOWN,41.98999999999842,SINGLE_WAVE_FAIBLE,SINGLE_WAVE_FORT_DOWN
147,UP,55.04999999999871,DOUBLE_WAVE,DOUBLE_WAVE_UP
