event_key,country,empirical_score,avg_movement_pips,sample_size,min_impact,max_impact,median_impact,std_impact
average earnings incl. bonus,UK,7.013888888888825,7.013888888888825,36,0.2999999999997449,19.800000000000928,5.650000000000377,5.24272791470784
baden wuerttemberg cpi_mom,DE,12.150000000000011,12.150000000000011,38,0.1999999999990898,36.70000000000062,10.900000000001464,9.217424860156825
baden wuerttemberg cpi_yoy,DE,12.0081081081081,12.0081081081081,37,0.1999999999990898,36.70000000000062,9.700000000001374,9.30011271011005
bank austria manufacturing pmi,AT,7.7891891891890275,7.7891891891890275,37,0.10000000000065512,34.600000000000186,4.599999999999049,8.581053415575662
bank loan growth_yoy,IN,10.713095238095187,10.713095238095187,84,0.10000000000065512,56.89999999999973,7.499999999998064,10.90285873130246
bavaria cpi_mom,DE,13.341666666666795,13.341666666666795,36,0.1999999999990898,37.10000000000102,13.150000000000661,10.18594824582723
bavaria cpi_yoy,DE,13.010810810810948,13.010810810810948,37,0.1999999999990898,37.10000000000102,12.100000000001554,9.96243712133957
bba mortgage rate,UK,7.851428571428747,7.851428571428747,35,0.10000000000065512,31.000000000001027,6.500000000000394,6.729184685428962
bcb focus market readout,BR,8.168421052631567,8.168421052631567,95,0.10000000000065512,35.89999999999982,7.099999999999884,7.008149589215361
bcb national monetary council meeting,BR,7.6615384615382665,7.6615384615382665,13,0.700000000000145,20.399999999998197,6.200000000000649,5.601722051371673
blom lebanon pmi,LB,14.778571428571498,14.778571428571498,14,2.80000000000058,49.29999999999879,11.600000000000499,11.976117816687236
boe breeden speech,UK,13.3958333333332,13.3958333333332,24,0.09999999999843467,68.60000000000088,8.650000000000047,15.291977176684197
boe fpc meeting minutes,UK,15.29999999999976,15.29999999999976,4,7.7000000000015945,30.799999999999716,11.349999999998861,9.077719978055976
boe gov bailey speech,UK,10.321818181818342,10.321818181818342,55,0.40000000000040004,49.5000000000001,8.60000000000083,9.957613640902485
boe greene speech,UK,9.90000000000002,9.90000000000002,10,1.100000000000545,27.999999999999137,7.249999999999757,8.325623099804313
boe kroszner speech,UK,15.94999999999902,15.94999999999902,2,12.499999999999734,19.399999999998307,15.94999999999902,3.449999999999287
boe l mann speech,UK,10.886363636363397,10.886363636363397,22,0.09999999999843467,39.09999999999858,8.199999999999319,10.523536195100151
boe lombardelli speech,UK,20.924999999999415,20.924999999999415,4,4.3999999999999595,40.399999999998215,19.449999999999747,15.426823230981993
boe mann speech,UK,9.299999999999704,9.299999999999704,21,0.5000000000010552,39.09999999999858,4.199999999998649,10.937702379079877
boe member pill speech,UK,6.956249999999775,6.956249999999775,16,0.09999999999843467,32.49999999999975,6.300000000001305,7.818964825186401
boe pill speech,UK,11.185106382978724,11.185106382978724,47,0.09999999999843467,93.50000000000081,6.200000000000649,16.746495075958805
boe ramsden speech,UK,8.988888888888564,8.988888888888564,18,0.1999999999990898,57.59999999999987,4.999999999999449,12.46946888688484
bonos auction,ES,9.364285714285524,9.364285714285524,56,0.09999999999843467,41.400000000000325,6.7499999999987015,8.416871419345465
brandenburg cpi_mom,DE,12.886486486486593,12.886486486486593,37,0.1999999999990898,37.10000000000102,11.099999999999444,9.737199835075797
brandenburg cpi_yoy,DE,12.74594594594609,12.74594594594609,37,0.1999999999990898,37.10000000000102,11.099999999999444,9.81712774074795
brazilian ipca inflation index sa_mom,BR,23.139999999999862,23.139999999999862,15,2.20000000000109,70.09999999999961,11.499999999999844,24.356294189935078
brazilian service sector growth_mom,BR,14.636363636364045,14.636363636364045,11,1.900000000001345,61.19999999999904,12.600000000000389,15.911189471978716
brazilian service sector growth_yoy,BR,14.636363636364045,14.636363636364045,11,1.900000000001345,61.19999999999904,12.600000000000389,15.911189471978716
btp auction,IT,7.833333333333582,7.833333333333582,27,0.10000000000065512,36.70000000000062,5.800000000000249,7.052238940512195
btp short term,IT,7.677777777777745,7.677777777777745,9,0.40000000000040004,30.09999999999957,4.999999999999449,8.449822848606683
bundesanleihe auction,AT,13.961538461538375,13.961538461538375,13,0.700000000000145,47.600000000000975,15.299999999998093,11.5433323052773
bundesbank balz speech,DE,9.619512195122095,9.619512195122095,41,0.8999999999992347,34.10000000000135,8.599999999998609,7.258039092576228
bundesbank buch speech,DE,11.463999999999874,11.463999999999874,25,0.20000000000131024,61.19999999999904,8.999999999999009,12.74757639710361
bundesbank mauderer speech,DE,8.028571428571686,8.028571428571686,28,0.9000000000014552,36.000000000000476,4.950000000001342,8.270941263710634
bundesbank nagel speech,DE,9.33750000000017,9.33750000000017,72,0.10000000000065512,33.90000000000004,7.449999999999957,8.186988957757515
business climate indicator,FR,8.941666666666775,8.941666666666775,36,0.10000000000065512,46.69999999999952,6.550000000000722,9.233735701220837
business confidence,CO,7.403703703703644,7.403703703703644,54,0.2999999999997449,34.699999999998624,5.150000000000432,6.773586034299628
business investment_qoq,UK,9.953846153846287,9.953846153846287,26,0.09999999999843467,34.800000000001496,6.650000000000267,9.105460355414477
business investment_yoy,UK,10.965384615384888,10.965384615384888,26,0.09999999999843467,34.800000000001496,8.850000000000247,9.260334863013844
car production_mom,BR,9.809999999999874,9.809999999999874,40,0.09999999999843467,34.30000000000044,6.900000000000794,8.772821666943885
car sales_yoy,ID,5.1297297297297275,5.1297297297297275,37,0.09999999999843467,15.600000000000058,4.3999999999999595,4.0996285174399425
cash remittances,PH,5.774285714285796,5.774285714285796,35,0.2999999999997449,21.299999999999653,2.9999999999996696,5.935912150733392
cash reserve ratio,IN,5.65625000000014,5.65625000000014,16,0.40000000000040004,22.299999999999542,4.450000000000287,5.87653902714001
cbi distributive trades,UK,7.192682926829434,7.192682926829434,41,0.20000000000131024,38.000000000000256,4.699999999999704,7.932778255484328
cbi industrial trends orders,UK,7.412820512820424,7.412820512820424,39,0.10000000000065512,48.99999999999905,6.099999999999994,8.450373364143395
cbr press conference,RU,10.000000000000142,10.000000000000142,25,0.40000000000040004,32.2,7.300000000001194,8.509712098537724
cement production_yoy,CO,5.535483870967403,5.535483870967403,31,0.40000000000040004,17.399999999998528,4.699999999999704,4.280605051225492
central bank reserves $,RU,16.22391304347811,16.22391304347811,46,0.700000000000145,65.30000000000146,11.550000000000171,15.505976194086404
cftc brl speculative net positions,BR,6.139583333333217,6.139583333333217,48,0.10000000000065512,46.10000000000003,4.20000000000087,7.377633416373446
cftc gbp speculative net positions,UK,6.139583333333217,6.139583333333217,48,0.10000000000065512,46.10000000000003,4.20000000000087,7.377633416373446
