date,num_events,num_events_total,score_ajuste,impact_real,impact_pred_interp,impact_pred_emp,error_interp,error_emp
2020-03-03,2,2,29.205956399999998,20.700000000000163,2.623620831722399,24.92680944723101,18.076379168277764,4.226809447230849
2020-03-03,5,5,48.199666666666666,88.10000000000207,21.442204070333336,31.910035114289535,66.65779592966874,56.189964885712534
2020-03-05,4,4,38.421895,22.800000000000598,12.843577231293333,28.90839790085485,9.956422768707265,6.1083979008542535
2020-03-05,1,1,24.1985121,44.6000000000013,2.3188558399841988,25.708746040141474,42.28114416001711,18.891253959859828
2020-03-06,2,2,16.813415,46.69999999999952,1.8571007921100018,22.430098460081574,44.842899207889516,24.269901539917946
2020-03-06,1,1,40.36169999999999,26.999999999999247,7.452316643399998,30.003378827531172,19.54768335659925,3.0033788275319253
2020-03-06,12,12,48.438020025,31.000000000001027,33.5584415295603,,2.5584415295592713,
2020-03-09,7,7,10.478091011810067,35.60000000000008,5.358166234191151,17.00303064478976,30.241833765808927,18.59696935521032
2020-03-09,2,2,35.20877269999999,36.89999999999971,4.794035110048195,26.136189906516762,32.105964889951515,10.763810093482945
2020-03-09,4,4,31.174681775,21.399999999998087,9.423027870406866,27.479287708519713,11.976972129591221,6.079287708521626
2020-03-09,1,1,12.146684,45.69999999999963,1.508828868232,22.50652031422236,44.19117113176763,23.193479685777273
2020-03-11,1,1,18.577177799999998,23.999999999999577,0.5335088236355989,24.21513186309795,23.466491176363977,0.2151318630983745
2020-03-11,1,1,21.481399999999997,24.200000000000887,1.4558956027999992,24.986796955352744,22.74410439720089,0.786796955351857
2020-03-12,3,3,11.380923000000001,27.500000000000302,1.8702809912390013,22.219330135286622,25.6297190087613,5.28066986471368
2020-03-12,2,2,36.47097788018433,161.89999999999927,5.250405588226726,26.390484924760816,156.64959441177254,135.50951507523845
2020-03-12,8,8,55.242481475,121.4000000000004,38.2726540756577,33.03051763899408,83.1273459243427,88.36948236100633
2020-03-13,3,3,14.219192000000001,30.90000000000037,0.6873652131226676,22.785410151525337,30.212634786877704,8.114589848475035
2020-03-17,1,1,7.035,20.000000000000018,3.1323099300000004,21.14832254773006,16.867690070000016,1.148322547730043
2020-03-17,3,3,30.744164099999995,76.00000000000051,6.199808000558695,26.081241686419432,69.80019199944182,49.91875831358108
2020-03-17,3,3,46.1965867,40.10000000000069,12.639970826443562,29.16315803625643,27.46002917355713,10.93684196374426
2020-03-17,3,3,38.56660596666667,27.199999999998337,9.45999577961621,27.64139261605615,17.740004220382126,0.441392616057815
2020-03-17,3,3,25.30305692462891,44.39999999999999,3.9320978123529784,24.996037275494796,40.46790218764701,19.403962724505195
2020-03-17,3,3,27.004195088867647,32.40000000000131,4.64108740256936,25.33532164904662,27.75891259743195,7.0646783509546935
2020-03-18,3,3,19.014725,24.100000000000232,1.3112866589083312,23.74185768997687,22.788713341091903,0.3581423100233607
2020-03-18,4,4,54.829765849999994,77.79999999999899,20.587785992237464,32.143938892717095,57.212214007761524,45.65606110728189
2020-03-18,5,5,29.1927324882465,44.39999999999999,11.421957447746186,25.40231362629226,32.978042552253804,18.997686373707733
2020-03-18,3,3,37.48958146666667,36.399999999998656,9.011120329661379,27.426584912329165,27.388879670337275,8.97341508766949
2020-03-19,1,1,11.013,32.2,1.868889174,22.205295301739575,30.331110826000003,9.994704698260428
2020-03-20,2,2,38.755476099999996,40.599999999999525,6.076402471572596,26.850740139686877,34.52359752842693,13.749259860312648
2020-03-20,1,1,37.3535364,40.49999999999887,6.496917867712801,29.204096030949184,34.00308213228607,11.295903969049686
2020-03-20,2,2,30.50925,36.40000000000087,3.0948474855,25.189382501907392,33.305152514500875,11.21061749809348
2020-03-20,2,2,37.2783306,29.09999999999968,5.542316881719598,26.553141343731404,23.55768311828008,2.5468586562682773
2020-03-23,1,1,38.8605423,44.700000000001964,6.975545955564599,29.604514375954604,37.724454044437365,15.09548562404736
2020-03-24,2,2,14.77387201032298,24.599999999999067,2.594530192715562,22.019194092145373,22.005469807283504,2.5808059078536942
2020-03-24,2,2,16.813415,59.00000000000016,1.8571007921100018,22.430098460081574,57.14289920789016,36.56990153991859
