cluster_id,date,time,timestamp,num_events,score_mean,score_min,score_max,max_surprise,avg_surprise,num_surprises,completeness_pct,cluster_type,dominant_family,is_testable
2024-04-05_14:30,2024-04-05,14:30,2024-04-05 14:30:00+02:00,12,61.455776527094514,57.69826407074845,67.6438161052937,51.5,14.193663964800992,7,58.333333333333336,NFP,Employment,True
2024-04-10_14:30,2024-04-10,14:30,2024-04-10 14:30:00+02:00,9,44.82035621858594,42.012728389432944,46.131002713643156,33.33333333333335,15.488702500191733,7,77.77777777777779,CPI,Inflation,True
2024-04-15_14:30,2024-04-15,14:30,2024-04-15 14:30:00+02:00,8,27.68147507248376,21.671326457943184,35.00725344868514,233.33333333333334,168.14814814814818,6,75.0,Retail Sales,Consumer,True
2024-04-25_14:30,2024-04-25,14:30,2024-04-25 14:30:00+02:00,31,30.08909926113339,23.851317490042995,33.282053649144096,300.00000000000006,58.208096148369094,25,80.64516129032258,Retail Sales,GDP/Growth,True
2024-05-03_14:30,2024-05-03,14:30,2024-05-03 14:30:00+02:00,12,61.455776527094514,57.69826407074845,67.6438161052937,60.0,19.130860615666517,9,75.0,NFP,Employment,True
2024-05-10_16:00,2024-05-10,16:00,2024-05-10 16:00:00+02:00,5,24.01327815351321,23.7495601289988,24.07920765964181,12.911392405063296,11.233878803020206,4,80.0,CPI,Consumer,True
2024-05-15_14:30,2024-05-15,14:30,2024-05-15 14:30:00+02:00,15,37.135511825037156,26.38175661281192,45.85630258750297,55.99999999999999,9.007436681964982,9,60.0,CPI,Inflation,True
2024-05-24_16:00,2024-05-24,16:00,2024-05-24 16:00:00+02:00,5,24.01327815351321,23.7495601289988,24.07920765964181,5.71428571428572,3.1183133084858503,4,80.0,CPI,Consumer,True
2024-05-30_14:30,2024-05-30,14:30,2024-05-30 14:30:00+02:00,23,28.99842476469626,23.19257246854641,33.282053649144096,300.00000000000006,83.16136174504588,15,65.21739130434783,Retail Sales,Consumer,True
2024-06-07_14:30,2024-06-07,14:30,2024-06-07 14:30:00+02:00,12,61.455776527094514,57.69826407074845,67.6438161052937,60.0,23.485844441726798,8,66.66666666666666,NFP,Employment,True
2024-06-12_14:30,2024-06-12,14:30,2024-06-12 14:30:00+02:00,9,44.82035621858594,42.012728389432944,46.131002713643156,33.33333333333333,7.504233490323319,6,66.66666666666666,CPI,Inflation,True
2024-06-14_16:00,2024-06-14,16:00,2024-06-14 16:00:00+02:00,5,24.01327815351321,23.7495601289988,24.07920765964181,11.971830985915492,8.09643043445861,3,60.0,CPI,Consumer,True
2024-06-27_14:30,2024-06-27,14:30,2024-06-27 14:30:00+02:00,33,27.934212332595333,20.88430992285662,33.282053649144096,500.0,88.00740803841325,21,63.63636363636363,Retail Sales,Other,True
2024-06-28_16:00,2024-06-28,16:00,2024-06-28 16:00:00+02:00,5,24.01327815351321,23.7495601289988,24.07920765964181,9.090909090909086,4.872542367510535,5,100.0,CPI,Consumer,True
2024-07-05_14:30,2024-07-05,14:30,2024-07-05 14:30:00+02:00,12,61.455776527094514,57.69826407074845,67.6438161052937,233.33333333333334,32.406798245614034,8,66.66666666666666,NFP,Employment,True
2024-07-11_14:30,2024-07-11,14:30,2024-07-11 14:30:00+02:00,13,39.173301418689654,25.339023793709526,46.131002713643156,200.0,29.871033544639545,9,69.23076923076923,CPI,Inflation,True
2024-07-16_14:30,2024-07-16,14:30,2024-07-16 14:30:00+02:00,13,27.384143032545545,21.671326457943184,28.822567457072772,400.0,197.77777777777777,9,69.23076923076923,Retail Sales,Consumer,True
2024-07-24_14:30,2024-07-24,14:30,2024-07-24 14:30:00+02:00,10,24.733815182037358,13.493496884140557,30.886023743354997,300.00000000000006,88.63423469895105,9,90.0,Retail Sales,Consumer,True
2024-08-02_14:30,2024-08-02,14:30,2024-08-02 14:30:00+02:00,12,61.455776527094514,57.69826407074845,67.6438161052937,200.0,31.821312153012002,12,100.0,NFP,Employment,True
2024-08-15_14:30,2024-08-15,14:30,2024-08-15 14:30:00+02:00,22,27.548815403854363,26.035577298163243,35.00725344868514,300.00000000000006,96.30342079086411,15,68.18181818181817,Retail Sales,Consumer,True
