cluster_id,date,time,timestamp,num_events,score_mean,score_min,score_max,max_surprise,avg_surprise,num_surprises,completeness_pct,cluster_type,dominant_family,is_testable
2023-06-29_14:30,2023-06-29,14:30,2023-06-29 14:30:00+02:00,3,30.32907577875663,26.84356289399415,33.282053649144096,9.811320754716983,4.603773584905656,3,100.0,Jobless Claims,Inflation,True
2023-06-29_18:30,2023-06-29,18:30,2023-06-29 18:30:00+02:00,15,30.18255690148441,23.19257246854641,33.282053649144096,42.85714285714287,12.920816066901018,13,86.66666666666667,Jobless Claims,GDP/Growth,True
2023-06-30_14:30,2023-06-30,14:30,2023-06-30 14:30:00+02:00,4,25.206393585313748,25.206393585313748,25.206393585313748,50.0,20.833333333333336,4,100.0,Other,Inflation,True
2023-07-03_20:00,2023-07-03,20:00,2023-07-03 20:00:00+02:00,6,95.01085819288018,92.51628728932027,100.0,50.000000000000014,22.376026964398573,5,83.33333333333334,Other,Manufacturing,True
2023-07-05_20:00,2023-07-05,20:00,2023-07-05 20:00:00+02:00,4,31.3639308476584,26.55913179216532,45.77832801413763,200.0,108.33333333333333,3,75.0,Other,Other,True
2023-07-06_16:00,2023-07-06,16:00,2023-07-06 16:00:00+02:00,5,28.31399375882022,21.47350513016643,32.4907400778474,14.065510597302513,4.410211150134247,4,80.0,Other,Other,True
2023-07-06_20:00,2023-07-06,20:00,2023-07-06 20:00:00+02:00,3,29.2019078620291,22.62424343039249,32.4907400778474,6.412825651302612,6.049550080553265,2,66.66666666666666,Other,Employment,True
2023-07-07_14:30,2023-07-07,14:30,2023-07-07 14:30:00+02:00,3,60.55996606218205,59.90047788837122,61.33895365705695,33.33333333333335,14.285714285714294,3,100.0,Other,Other,True
2023-07-12_14:30,2023-07-12,14:30,2023-07-12 14:30:00+02:00,3,45.41656517010307,44.414844512436375,46.131002713643156,33.33333333333333,23.297491039426518,3,100.0,CPI,Inflation,True
2023-07-12_18:30,2023-07-12,18:30,2023-07-12 18:30:00+02:00,6,44.522251742827386,42.012728389432944,45.85630258750297,33.33333333333333,6.910371303388753,6,100.0,CPI,Inflation,True
